Frequency (GHz), Wave Refl (dB), Wave Refl (rad), Wave Trans (dB), Wave Trans (rad)
2.533659656494419377e+00,-1.045504378831694448e+00,3.121933758252544600e+00,-2.659669751455083286e+01,2.247065192471651152e+00
2.543293343401242357e+00,-1.046137436242427166e+00,3.121979182412346621e+00,-2.661343540173713507e+01,2.245722374644749664e+00
2.552927030308065337e+00,-1.046767216894675334e+00,3.122024662920385385e+00,-2.663009791715866825e+01,2.244389138332211431e+00
2.562560717214888317e+00,-1.047393469545242706e+00,3.122070273744320001e+00,-2.664667341509623100e+01,2.243064622297228361e+00
2.572194404121711298e+00,-1.048015636433534903e+00,3.122116059257059817e+00,-2.666315563384973686e+01,2.241747380311161386e+00
2.581828091028533834e+00,-1.048633037628062148e+00,3.122162020349078748e+00,-2.667954553269557039e+01,2.240435797405206930e+00
2.591461777935357258e+00,-1.049245089732237624e+00,3.122208113929576090e+00,-2.669585094450259533e+01,2.239128552652109860e+00
2.601095464842179794e+00,-1.049851492206675729e+00,3.122254265779797588e+00,-2.671208417057751916e+01,2.237824989140560827e+00
2.610729151749002774e+00,-1.050452325307109636e+00,3.122300392677654468e+00,-2.672825826053288978e+01,2.236525281090383732e+00
2.620362838655825755e+00,-1.051048031190994436e+00,3.122346426960912691e+00,-2.674438310675936847e+01,2.235230350065541938e+00
2.629996525562648291e+00,-1.051639285534271773e+00,3.122392336052174588e+00,-2.676046252688446714e+01,2.233941557997366267e+00
2.639630212469471271e+00,-1.052226800069272272e+00,3.122438131098513647e+00,-2.677649319917666304e+01,2.232660271365655369e+00
2.649263899376294251e+00,-1.052811116827099713e+00,3.122483862256982157e+00,-2.679246575150289544e+01,2.231387428549194585e+00
2.658897586283117231e+00,-1.053392456547907363e+00,3.122529602236965740e+00,-2.680836765577813807e+01,2.230123240088702996e+00
2.668531273189939768e+00,-1.053970666458125649e+00,3.122575423246285009e+00,-2.682418704180580704e+01,2.228867110480455160e+00
2.678164960096763192e+00,-1.054545281892731445e+00,3.122621374416543194e+00,-2.683991627709918859e+01,2.227617802811406644e+00
2.687798647003585728e+00,-1.055115681550378381e+00,3.122667466542287773e+00,-2.685555424048468254e+01,2.226373794464550304e+00
2.697432333910408708e+00,-1.055681288070279944e+00,3.122713668660364039e+00,-2.687110661966444525e+01,2.225133715256788047e+00
2.707066020817231689e+00,-1.056241752534277989e+00,3.122759917347370795e+00,-2.688658416271494644e+01,2.223896735670149560e+00
2.716699707724054225e+00,-1.056797067188658623e+00,3.122806135747382417e+00,-2.690199942852673942e+01,2.222662789120656068e+00
2.726333394630877649e+00,-1.057347573174176381e+00,3.122852256433184426e+00,-2.691736302638769018e+01,2.221432563184982278e+00
2.735967081537700185e+00,-1.057893862311363398e+00,3.122898241120683149e+00,-2.693268047831956125e+01,2.220207264695100768e+00
2.745600768444523165e+00,-1.058436604108903500e+00,3.122944091302067626e+00,-2.694795063963396942e+01,2.218988231408022926e+00
2.755234455351346146e+00,-1.058976351414907313e+00,3.122989846693739135e+00,-2.696316613655259076e+01,2.217776508265822955e+00
2.764868142258168682e+00,-1.059513383902948025e+00,3.123035572128773918e+00,-2.697831567026604915e+01,2.216572515745869776e+00
2.774501829164991662e+00,-1.060047636343972366e+00,3.123081337017706627e+00,-2.699338747826612561e+01,2.215375908972085917e+00
2.784135516071814642e+00,-1.060578732306697081e+00,3.123127193700176552e+00,-2.700837290303242710e+01,2.214185668097744308e+00
2.793769202978637622e+00,-1.061106111706745514e+00,3.123173161264244158e+00,-2.702326899552362960e+01,2.213000390668030448e+00
2.803402889885460159e+00,-1.061629212328132787e+00,3.123219219668020408e+00,-2.703807938059822646e+01,2.211818696280276608e+00
2.813036576792283583e+00,-1.062147649593120358e+00,3.123265315813361198e+00,-2.705281314070995791e+01,2.210639620955958673e+00
2.822670263699106119e+00,-1.062661340100440999e+00,3.123311379577215163e+00,-2.706748207179991539e+01,2.209462882878272971e+00
2.832303950605929099e+00,-1.063170532192792450e+00,3.123357344813088243e+00,-2.708209715085004632e+01,2.208288940910038800e+00
2.841937637512752080e+00,-1.063675735465431149e+00,3.123403168891720316e+00,-2.709666528322518886e+01,2.207118830283085309e+00
2.851571324419574616e+00,-1.064177571867420680e+00,3.123448844874408437e+00,-2.711118730369841501e+01,2.205953826890326486e+00
2.861205011326398040e+00,-1.064676594531682952e+00,3.123494402720473850e+00,-2.712565781955285615e+01,2.204795042563934881e+00
2.870838698233220576e+00,-1.065173129673451680e+00,3.123539899300201039e+00,-2.714006692586241343e+01,2.203643073480472392e+00
2.880472385140043556e+00,-1.065667189209407617e+00,3.123585400381374999e+00,-2.715440326087687239e+01,2.202497806775909339e+00
2.890106072046866537e+00,-1.066158479713773310e+00,3.123630960151472014e+00,-2.716865747187494051e+01,2.201358442019226036e+00
2.899739758953689517e+00,-1.066646503800744661e+00,3.123676604515595479e+00,-2.718282504677141631e+01,2.200223719169432268e+00
2.909373445860512053e+00,-1.067130722047437974e+00,3.123722323188234729e+00,-2.719690766648037084e+01,2.199092282684223854e+00
2.919007132767335033e+00,-1.067610725607887057e+00,3.123768072868700951e+00,-2.721091268500515881e+01,2.197963071159732884e+00
2.928640819674158013e+00,-1.068086367038741935e+00,3.123813790401166468e+00,-2.722485091038631921e+01,2.196835615201535585e+00
2.938274506580980994e+00,-1.068557810170708056e+00,3.123859411806004349e+00,-2.723873336861961647e+01,2.195710154870768260e+00
2.947908193487803974e+00,-1.069025484886058752e+00,3.123904891338827650e+00,-2.725256803190351462e+01,2.194587543068089897e+00
2.957541880394626510e+00,-1.069489961671782563e+00,3.123950214796193059e+00,-2.726635749422589328e+01,2.193468965818534233e+00
2.967175567301449934e+00,-1.069951784966673758e+00,3.123995403101722079e+00,-2.728009828384091406e+01,2.192355565114049831e+00
2.976809254208272471e+00,-1.070411316346122188e+00,3.124040505201827411e+00,-2.729378200453097492e+01,2.191248078452816106e+00
2.986442941115095007e+00,-1.070868634991055446e+00,3.124085582553988605e+00,-2.730739794677967325e+01,2.190146603193701580e+00
2.996076628021918431e+00,-1.071323524946537598e+00,3.124130690012921097e+00,-2.732093637166861910e+01,2.189050555427414668e+00
3.005710314928740967e+00,-1.071775552001846599e+00,3.124175858955113405e+00,-2.733439147501723454e+01,2.187958834041003886e+00
3.015344001835563947e+00,-1.072224205809372277e+00,3.124221087733954239e+00,-2.734776314377248951e+01,2.186870138903274530e+00
3.024977688742386928e+00,-1.072669063361124886e+00,3.124266342274092167e+00,-2.736105698722141000e+01,2.185783346209493327e+00
3.034611375649209908e+00,-1.073109923981002467e+00,3.124311566505261428e+00,-2.737428264865167904e+01,2.184697827676933102e+00
3.044245062556032444e+00,-1.073546875215760643e+00,3.124356699354842171e+00,-2.738745091991749803e+01,2.183613618152109304e+00
3.053878749462855424e+00,-1.073980270443394058e+00,3.124401693067361485e+00,-2.740057053650880903e+01,2.182531382593881464e+00
3.063512436369678404e+00,-1.074410626020566362e+00,3.124446527277666252e+00,-2.741364561890154761e+01,2.181452194112637688e+00
3.073146123276501385e+00,-1.074838470106977084e+00,3.124491214617391766e+00,-2.742667452326948663e+01,2.180377191398223058e+00
3.082779810183324365e+00,-1.075264189590663166e+00,3.124535796251628916e+00,-2.743965043467558118e+01,2.179307219496030790e+00
3.092413497090146901e+00,-1.075687921577920703e+00,3.124580328815867336e+00,-2.745256350966942449e+01,2.178242562000532345e+00
3.102047183996970325e+00,-1.076109521858033657e+00,3.124624866815169710e+00,-2.746540391141965642e+01,2.177182844368069858e+00
3.111680870903792862e+00,-1.076528619030113987e+00,3.124669445877506391e+00,-2.747816481775367947e+01,2.176127135977655946e+00
3.121314557810615398e+00,-1.076944736893232557e+00,3.124714071932512827e+00,-2.749084449814409581e+01,2.175074218606984910e+00
3.130948244717438822e+00,-1.077357447189363437e+00,3.124758719531606665e+00,-2.750344684300289444e+01,2.174022939224849349e+00
3.140581931624261358e+00,-1.077766506009611991e+00,3.124803339715610306e+00,-2.751598019912254856e+01,2.172972540328681035e+00
3.150215618531084338e+00,-1.078171932657686849e+00,3.124847874934757463e+00,-2.752845487564965765e+01,2.171922868705782328e+00
3.159849305437907319e+00,-1.078574007687169933e+00,3.124892276414299008e+00,-2.754088008156409728e+01,2.170874400893052059e+00
3.169482992344730299e+00,-1.078973191614032601e+00,3.124936518668568031e+00,-2.755326121997099165e+01,2.169828079235676999e+00
3.179116679251553279e+00,-1.079369989857903001e+00,3.124980606790809468e+00,-2.756559834935160325e+01,2.168785009412034004e+00
3.188750366158376259e+00,-1.079764805496399305e+00,3.125024574386851217e+00,-2.757788626443780799e+01,2.167746111481795079e+00
3.198384053065198795e+00,-1.080157824652568710e+00,3.125068472883320680e+00,-2.759011615902162617e+01,2.166711829709808246e+00
3.208017739972021776e+00,-1.080548968937542709e+00,3.125112355550286214e+00,-2.760227835801331508e+01,2.165681987899517491e+00
3.217651426878844756e+00,-1.080937928643391777e+00,3.125156261145203729e+00,-2.761436528883316299e+01,2.164655832545141045e+00
3.227285113785667292e+00,-1.081324265727859224e+00,3.125200202146104278e+00,-2.762637379685413563e+01,2.163632249315502687e+00
3.236918800692490716e+00,-1.081707554573492658e+00,3.125244161094950623e+00,-2.763830611394601533e+01,2.162610086377021901e+00
3.246552487599313253e+00,-1.082087517389815456e+00,3.125288096072629251e+00,-2.765016919977294663e+01,2.161588486462680869e+00
3.256186174506136233e+00,-1.082464113220856561e+00,3.125331953544709940e+00,-2.766197266718464931e+01,2.160567127758354022e+00
3.265819861412959213e+00,-1.082837554044646877e+00,3.125375684599313253e+00,-2.767372592711343415e+01,2.159546301921313471e+00
3.275453548319781749e+00,-1.083208243863739373e+00,3.125419259611843081e+00,-2.768543541778383599e+01,2.158526807110720647e+00
3.285087235226604729e+00,-1.083576660102178124e+00,3.125462676902207804e+00,-2.769710275050537263e+01,2.157509689700975564e+00
3.294720922133427710e+00,-1.083943213926823246e+00,3.125505962820955830e+00,-2.770872432198391166e+01,2.156495913547750831e+00
3.304354609040250690e+00,-1.084308132116383216e+00,3.125549163329528923e+00,-2.772029249791609828e+01,2.155486056807740525e+00
3.313988295947073670e+00,-1.084671396107460994e+00,3.125592329720715767e+00,-2.773179799958135661e+01,2.154480127237226483e+00
3.323621982853896650e+00,-1.085032756115090979e+00,3.125635502875840022e+00,-2.774323276641457525e+01,2.153477550572499233e+00
3.333255669760719186e+00,-1.085391815249608483e+00,3.125678700852844827e+00,-2.775459243002655896e+01,2.152477334135227238e+00
3.342889356667542167e+00,-1.085748157359792021e+00,3.125721913537979013e+00,-2.776587765862267787e+01,2.151478355091035244e+00
3.352523043574365147e+00,-1.086101479335288778e+00,3.125765105910595310e+00,-2.777709397627894461e+01,2.150479685682871622e+00
3.362156730481187683e+00,-1.086451687658342546e+00,3.125808228839950242e+00,-2.778825012343509115e+01,2.149480857322542349e+00
3.371790417388011107e+00,-1.086798930265675311e+00,3.125851234057846817e+00,-2.779935546325853579e+01,2.148481984593980432e+00
3.381424104294833644e+00,-1.087143554718921656e+00,3.125894088718193409e+00,-2.781041722144750139e+01,2.147483712987801496e+00
3.391057791201656624e+00,-1.087486006145174988e+00,3.125936785127492179e+00,-2.782143839078223380e+01,2.146487007480005538e+00
3.400691478108479604e+00,-1.087826696553773731e+00,3.125979342741783462e+00,-2.783241692523372279e+01,2.145492846776715368e+00
3.410325165015302140e+00,-1.088165885499662311e+00,3.126021801903159592e+00,-2.784334645587878754e+01,2.144501915890236532e+00
3.419958851922125120e+00,-1.088503608208775564e+00,3.126064211301991413e+00,-2.785421830163123857e+01,2.143514389495183803e+00
3.429592538828948101e+00,-1.088839672503480571e+00,3.126106613035428694e+00,-2.786502416026068829e+01,2.142529870519615187e+00
3.439226225735771081e+00,-1.089173724762332096e+00,3.126149029823034109e+00,-2.787575866520536039e+01,2.141547501264121856e+00
3.448859912642594061e+00,-1.089505364188105840e+00,3.126191458239255816e+00,-2.788642104010980560e+01,2.140566212319951145e+00
3.458493599549417041e+00,-1.089834270201447852e+00,3.126233869956722700e+00,-2.789701536019764916e+01,2.139585033359990618e+00
3.468127286456239577e+00,-1.090160304147052894e+00,3.126276220542178574e+00,-2.790754935247180768e+01,2.138603371833382560e+00
3.477760973363063002e+00,-1.090483554687980083e+00,3.126318463058372021e+00,-2.791803210688319936e+01,2.137621175971545107e+00
3.487394660269885538e+00,-1.090804313667606440e+00,3.126360562293577949e+00,-2.792847139533337852e+01,2.136638933964901899e+00
3.497028347176708074e+00,-1.091122990462530140e+00,3.126402505291537626e+00,-2.793887140788120860e+01,2.135657510819895410e+00
3.506662034083531498e+00,-1.091439991445701363e+00,3.126444305021013115e+00,-2.794923158376139583e+01,2.134677873203636445e+00
3.516295720990354035e+00,-1.091755601508681783e+00,3.126485996138538503e+00,-2.795954688044004044e+01,2.133700785872976624e+00
3.525929407897177015e+00,-1.092069903600988212e+00,3.126527624209103795e+00,-2.796980938899359970e+01,2.132726571195093346e+00
3.535563094803999995e+00,-1.092382760346608972e+00,3.126569231722485576e+00,-2.798001079997027318e+01,2.131755003617623601e+00
3.545196781710822975e+00,-1.092693862711939579e+00,3.126610845183118492e+00,-2.799014497173762805e+01,2.130785369837628007e+00
3.554830468617645955e+00,-1.093002830290637162e+00,3.126652467183570927e+00,-2.800020982789963853e+01,2.129816675351884125e+00
3.564464155524468492e+00,-1.093309332247562438e+00,3.126694075820232399e+00,-2.801020801783251812e+01,2.128847934167387379e+00
3.574097842431291472e+00,-1.093613191991308353e+00,3.126735631557361561e+00,-2.802014615072802783e+01,2.127878453887919186e+00
3.583731529338114452e+00,-1.093914443943724502e+00,3.126777089382731134e+00,-2.803003284420648100e+01,2.126908030434394803e+00
3.593365216244937432e+00,-1.094213325627386268e+00,3.126818412511992662e+00,-2.803987618343763089e+01,2.125936994491348653e+00
3.602998903151759968e+00,-1.094510208096559634e+00,3.126859583464594472e+00,-2.804968135953049568e+01,2.124966096816488292e+00
3.612632590058583393e+00,-1.094805486432619324e+00,3.126900609172419188e+00,-2.805944919620700517e+01,2.123996268112575247e+00
